Specimen,Species,Sex
ORTALB001,albistylum,Male
ORTALB002,albistylum,Female
ORTALB003,albistylum,Male
ORTALB004,albistylum,Female
ORTALB005,albistylum,Female
ORTALB006,albistylum,Male
ORTALB007,albistylum,Male
ORTALB008,albistylum,Male
ORTALB009,albistylum,Male
ORTALB010,albistylum,Male
ORTALB011,albistylum,Female
ORTALB012,albistylum,Male
ORTBRU001,brunneum,Female
ORTBRU002,brunneum,Female
ORTBRU003,brunneum,Male
ORTBRU004,brunneum,Male
ORTBRU005,brunneum,Male
ORTBRU006,brunneum,Female
ORTBRU007,brunneum,Male
ORTBRU008,brunneum,Male
ORTBRU009,brunneum,Male
ORTBRU010,brunneum,Male
ORTBRU011,brunneum,Male
ORTBRU012,brunneum,Female
ORTCAN001,cancellatum,Female
ORTCAN002,cancellatum,Female
ORTCAN003,cancellatum,Female
ORTCAN004,cancellatum,Male
ORTCAN005,cancellatum,Male
ORTCAN006,cancellatum,Male
ORTCAN007,cancellatum,Male
ORTCAN008,cancellatum,Male
ORTCAN009,cancellatum,Male
ORTCAN010,cancellatum,Female
ORTCAN011,cancellatum,Male
ORTCAN012,cancellatum,Female
ORTCOE001,coerulescens,Female
ORTCOE002,coerulescens,Male
ORTCOE003,coerulescens,Male
ORTCOE004,coerulescens,Male
ORTCOE005,coerulescens,Female
ORTCOE006,coerulescens,Male
ORTCOE007,coerulescens,Female
ORTCOE008,coerulescens,Female
ORTCOE009,coerulescens,Female
ORTCOE010,coerulescens,Female
ORTCOE011,coerulescens,Female
ORTCOE012,coerulescens,Female
ORTGLA001,glaucum,Female
ORTGLA002,glaucum,Female
ORTGLA003,glaucum,Female
ORTGLA004,glaucum,Female
ORTGLA005,glaucum,Female
ORTGLA006,glaucum,Female
ORTGLA007,glaucum,Male
ORTGLA008,glaucum,Male
ORTGLA009,glaucum,Male
ORTGLA010,glaucum,Male
ORTGLA011,glaucum,Male
ORTGLA012,glaucum,Male
ORTJUL001,julia,Female
ORTJUL002,julia,Female
ORTJUL003,julia,Female
ORTJUL004,julia,Male
ORTJUL005,julia,Female
ORTJUL006,julia,Male
ORTJUL007,julia,Female
ORTJUL008,julia,Female
ORTJUL009,julia,Male
ORTJUL010,julia,Male
ORTJUL011,julia,Male
ORTJUL012,julia,Female
ORTPRU001,pruinosum,Male
ORTPRU002,pruinosum,Male
ORTPRU003,pruinosum,Male
ORTPRU004,pruinosum,Male
ORTPRU005,pruinosum,Male
ORTPRU006,pruinosum,Male
ORTPRU007,pruinosum,Female
ORTPRU008,pruinosum,Female
ORTPRU009,pruinosum,Male
ORTPRU010,pruinosum,Male
ORTPRU011,pruinosum,Male
ORTPRU012,pruinosum,Male
ORTSAB001,sabina,Female
ORTSAB002,sabina,Female
ORTSAB003,sabina,Female
ORTSAB004,sabina,Male
ORTSAB005,sabina,Male
ORTSAB006,sabina,Male
ORTSAB007,sabina,Female
ORTSAB008,sabina,Male
ORTSAB009,sabina,Female
ORTSAB010,sabina,Female
ORTSAB011,sabina,Male
ORTSAB012,sabina,Male
ORTTRI001,trinacria,Male
ORTTRI002,trinacria,Male
ORTTRI003,trinacria,Female
ORTTRI004,trinacria,Female
ORTTRI005,trinacria,Male
ORTTRI006,trinacria,Male
ORTTRI007,trinacria,Male
ORTTRI008,trinacria,Male
ORTTRI009,trinacria,Female
ORTTRI010,trinacria,Female
ORTTRI011,trinacria,Male
ORTTRI012,trinacria,Male
LIBDEP001,depressa,Male
LIBDEP002,depressa,Male
LIBDEP003,depressa,Male
LIBDEP004,depressa,Male
LIBDEP005,depressa,Male
LIBDEP006,depressa,Male
LIBDEP007,depressa,Female
LIBDEP008,depressa,Female
LIBDEP009,depressa,Female
LIBDEP010,depressa,Female
LIBDEP011,depressa,Female
LIBDEP012,depressa,Female
